 Price , Area ,Bedroom,Bathroom,Stories,Mainroad,Guestroom,Basement,Hot Water Heating,Air Conditioning,Parking,Prefarea,Furnishing Status
" 6,265,000.00 "," 6,000.00 ",4,1,3,yes,yes,yes,no,no,0,yes,unfurnished
" 6,230,000.00 "," 6,600.00 ",3,2,1,yes,no,yes,no,yes,0,yes,unfurnished
" 6,230,000.00 "," 5,500.00 ",3,1,3,yes,no,no,no,no,1,yes,unfurnished
" 6,195,000.00 "," 5,500.00 ",3,2,4,yes,yes,no,no,yes,1,no,semi-furnished
" 6,195,000.00 "," 6,350.00 ",3,2,3,yes,yes,no,no,yes,0,no,furnished
" 6,195,000.00 "," 5,500.00 ",3,2,1,yes,yes,yes,no,no,2,yes,furnished
" 6,160,000.00 "," 4,500.00 ",3,1,4,yes,no,no,no,yes,0,no,unfurnished
" 6,160,000.00 "," 5,450.00 ",4,2,1,yes,no,yes,no,yes,0,yes,semi-furnished
" 6,125,000.00 "," 6,420.00 ",3,1,3,yes,no,yes,no,no,0,yes,unfurnished
" 6,107,500.00 "," 3,240.00 ",4,1,3,yes,no,no,no,no,1,no,semi-furnished
" 6,090,000.00 "," 6,615.00 ",4,2,2,yes,yes,no,yes,no,1,no,semi-furnished
" 6,090,000.00 "," 6,600.00 ",3,1,1,yes,yes,yes,no,no,2,yes,semi-furnished
" 6,090,000.00 "," 8,372.00 ",3,1,3,yes,no,no,no,yes,2,no,unfurnished
" 6,083,000.00 "," 4,300.00 ",6,2,2,yes,no,no,no,no,0,no,furnished
" 6,083,000.00 "," 9,620.00 ",3,1,1,yes,no,yes,no,no,2,yes,furnished
" 6,020,000.00 "," 6,800.00 ",2,1,1,yes,yes,yes,no,no,2,no,furnished
" 6,020,000.00 "," 8,000.00 ",3,1,1,yes,yes,yes,no,yes,2,yes,semi-furnished
" 6,020,000.00 "," 6,900.00 ",3,2,1,yes,yes,yes,no,no,0,yes,unfurnished
" 5,950,000.00 "," 3,700.00 ",4,1,2,yes,yes,no,no,yes,0,no,furnished
" 5,950,000.00 "," 6,420.00 ",3,1,1,yes,no,yes,no,yes,0,yes,furnished
" 5,950,000.00 "," 7,020.00 ",3,1,1,yes,no,yes,no,yes,2,yes,semi-furnished
" 5,950,000.00 "," 6,540.00 ",3,1,1,yes,yes,yes,no,no,2,yes,furnished
" 5,950,000.00 "," 7,231.00 ",3,1,2,yes,yes,yes,no,yes,0,yes,semi-furnished
" 5,950,000.00 "," 6,254.00 ",4,2,1,yes,no,yes,no,no,1,yes,semi-furnished
" 5,950,000.00 "," 7,320.00 ",4,2,2,yes,no,no,no,no,0,no,furnished
" 5,950,000.00 "," 6,525.00 ",3,2,4,yes,no,no,no,no,1,no,furnished
" 5,943,000.00 "," 15,600.00 ",3,1,1,yes,no,no,no,yes,2,no,semi-furnished
" 5,880,000.00 "," 7,160.00 ",3,1,1,yes,no,yes,no,no,2,yes,unfurnished
" 5,880,000.00 "," 6,500.00 ",3,2,3,yes,no,no,no,yes,0,no,unfurnished
" 5,873,000.00 "," 5,500.00 ",3,1,3,yes,yes,no,no,yes,1,no,furnished
" 5,873,000.00 "," 11,460.00 ",3,1,3,yes,no,no,no,no,2,yes,semi-furnished
" 5,866,000.00 "," 4,800.00 ",3,1,1,yes,yes,yes,no,no,0,no,unfurnished
" 5,810,000.00 "," 5,828.00 ",4,1,4,yes,yes,no,no,no,0,no,semi-furnished
" 5,810,000.00 "," 5,200.00 ",3,1,3,yes,no,no,no,yes,0,no,semi-furnished
" 5,810,000.00 "," 4,800.00 ",3,1,3,yes,no,no,no,yes,0,no,unfurnished
" 5,803,000.00 "," 7,000.00 ",3,1,1,yes,no,yes,no,no,2,yes,semi-furnished
" 5,775,000.00 "," 6,000.00 ",3,2,4,yes,no,no,no,yes,0,no,unfurnished
" 5,740,000.00 "," 5,400.00 ",4,2,2,yes,no,no,no,yes,2,no,unfurnished
" 5,740,000.00 "," 4,640.00 ",4,1,2,yes,no,no,no,no,1,no,semi-furnished
" 5,740,000.00 "," 5,000.00 ",3,1,3,yes,no,no,no,yes,0,no,semi-furnished
" 5,740,000.00 "," 6,360.00 ",3,1,1,yes,yes,yes,no,yes,2,yes,furnished
" 5,740,000.00 "," 5,800.00 ",3,2,4,yes,no,no,no,yes,0,no,unfurnished
" 5,652,500.00 "," 6,660.00 ",4,2,2,yes,yes,yes,no,no,1,yes,semi-furnished
" 5,600,000.00 "," 10,500.00 ",4,2,2,yes,no,no,no,no,1,no,semi-furnished
" 5,600,000.00 "," 4,800.00 ",5,2,3,no,no,yes,yes,no,0,no,unfurnished
" 5,600,000.00 "," 4,700.00 ",4,1,2,yes,yes,yes,no,yes,1,no,furnished
" 5,600,000.00 "," 5,000.00 ",3,1,4,yes,no,no,no,no,0,no,furnished
" 5,600,000.00 "," 10,500.00 ",2,1,1,yes,no,no,no,no,1,no,semi-furnished
" 5,600,000.00 "," 5,500.00 ",3,2,2,yes,no,no,no,no,1,no,semi-furnished
" 5,600,000.00 "," 6,360.00 ",3,1,3,yes,no,no,no,no,0,yes,semi-furnished
" 5,600,000.00 "," 6,600.00 ",4,2,1,yes,no,yes,no,no,0,yes,semi-furnished
" 5,600,000.00 "," 5,136.00 ",3,1,2,yes,yes,yes,no,yes,0,yes,unfurnished
" 5,565,000.00 "," 4,400.00 ",4,1,2,yes,no,no,no,yes,2,yes,semi-furnished
" 5,565,000.00 "," 5,400.00 ",5,1,2,yes,yes,yes,no,yes,0,yes,furnished
" 5,530,000.00 "," 3,300.00 ",3,3,2,yes,no,yes,no,no,0,no,semi-furnished
" 5,530,000.00 "," 3,650.00 ",3,2,2,yes,no,no,no,no,2,no,semi-furnished
" 5,530,000.00 "," 6,100.00 ",3,2,1,yes,no,yes,no,no,2,yes,furnished
" 5,523,000.00 "," 6,900.00 ",3,1,1,yes,yes,yes,no,no,0,yes,semi-furnished
" 5,495,000.00 "," 2,817.00 ",4,2,2,no,yes,yes,no,no,1,no,furnished
" 5,495,000.00 "," 7,980.00 ",3,1,1,yes,no,no,no,no,2,no,semi-furnished
" 5,460,000.00 "," 3,150.00 ",3,2,1,yes,yes,yes,no,yes,0,no,furnished
" 5,460,000.00 "," 6,210.00 ",4,1,4,yes,yes,no,no,yes,0,no,furnished
" 5,460,000.00 "," 6,100.00 ",3,1,3,yes,yes,no,no,yes,0,yes,semi-furnished
" 5,460,000.00 "," 6,600.00 ",4,2,2,yes,yes,yes,no,no,0,yes,semi-furnished
" 5,425,000.00 "," 6,825.00 ",3,1,1,yes,yes,yes,no,yes,0,yes,semi-furnished
" 5,390,000.00 "," 6,710.00 ",3,2,2,yes,yes,yes,no,no,1,yes,furnished
" 5,383,000.00 "," 6,450.00 ",3,2,1,yes,yes,yes,yes,no,0,no,unfurnished
" 5,320,000.00 "," 7,800.00 ",3,1,1,yes,no,yes,no,yes,2,yes,unfurnished
" 5,285,000.00 "," 4,600.00 ",2,2,1,yes,no,no,no,yes,2,no,semi-furnished
" 5,250,000.00 "," 4,260.00 ",4,1,2,yes,no,yes,no,yes,0,no,furnished
" 5,250,000.00 "," 6,540.00 ",4,2,2,no,no,no,no,yes,0,no,semi-furnished
" 5,250,000.00 "," 5,500.00 ",3,2,1,yes,no,yes,no,no,0,no,semi-furnished
" 5,250,000.00 "," 10,269.00 ",3,1,1,yes,no,no,no,no,1,yes,semi-furnished
" 5,250,000.00 "," 8,400.00 ",3,1,2,yes,yes,yes,no,yes,2,yes,unfurnished
" 5,250,000.00 "," 5,300.00 ",4,2,1,yes,no,no,no,yes,0,yes,unfurnished
" 5,250,000.00 "," 3,800.00 ",3,1,2,yes,yes,yes,no,no,1,yes,unfurnished
" 5,250,000.00 "," 9,800.00 ",4,2,2,yes,yes,no,no,no,2,no,semi-furnished
" 5,250,000.00 "," 8,520.00 ",3,1,1,yes,no,no,no,yes,2,no,furnished
" 5,243,000.00 "," 6,050.00 ",3,1,1,yes,no,yes,no,no,0,yes,semi-furnished
" 5,229,000.00 "," 7,085.00 ",3,1,1,yes,yes,yes,no,no,2,yes,semi-furnished
" 5,215,000.00 "," 3,180.00 ",3,2,2,yes,no,no,no,no,2,no,semi-furnished
" 5,215,000.00 "," 4,500.00 ",4,2,1,no,no,yes,no,yes,2,no,semi-furnished
" 5,215,000.00 "," 7,200.00 ",3,1,2,yes,yes,yes,no,no,1,yes,furnished
" 5,145,000.00 "," 3,410.00 ",3,1,2,no,no,no,no,yes,0,no,semi-furnished
" 5,145,000.00 "," 7,980.00 ",3,1,1,yes,no,no,no,no,1,yes,semi-furnished
" 5,110,000.00 "," 3,000.00 ",3,2,2,yes,yes,yes,no,no,0,no,furnished
" 5,110,000.00 "," 3,000.00 ",3,1,2,yes,no,yes,no,no,0,no,unfurnished
" 5,110,000.00 "," 11,410.00 ",2,1,2,yes,no,no,no,no,0,yes,furnished
" 5,110,000.00 "," 6,100.00 ",3,1,1,yes,no,yes,no,yes,0,yes,semi-furnished
" 5,075,000.00 "," 5,720.00 ",2,1,2,yes,no,no,no,yes,0,yes,unfurnished
" 5,040,000.00 "," 3,540.00 ",2,1,1,no,yes,yes,no,no,0,no,semi-furnished
" 5,040,000.00 "," 7,600.00 ",4,1,2,yes,no,no,no,yes,2,no,furnished
" 5,040,000.00 "," 10,700.00 ",3,1,2,yes,yes,yes,no,no,0,no,semi-furnished
" 5,040,000.00 "," 6,600.00 ",3,1,1,yes,yes,yes,no,no,0,yes,furnished
" 5,033,000.00 "," 4,800.00 ",2,1,1,yes,yes,yes,no,no,0,no,semi-furnished
" 5,005,000.00 "," 8,150.00 ",3,2,1,yes,yes,yes,no,no,0,no,semi-furnished
" 4,970,000.00 "," 4,410.00 ",4,3,2,yes,no,yes,no,no,2,no,semi-furnished
" 4,970,000.00 "," 7,686.00 ",3,1,1,yes,yes,yes,yes,no,0,no,semi-furnished
" 4,956,000.00 "," 2,800.00 ",3,2,2,no,no,yes,no,yes,1,no,semi-furnished
" 4,935,000.00 "," 5,948.00 ",3,1,2,yes,no,no,no,yes,0,no,semi-furnished
" 4,907,000.00 "," 4,200.00 ",3,1,2,yes,no,no,no,no,1,no,furnished
" 4,900,000.00 "," 4,520.00 ",3,1,2,yes,no,yes,no,yes,0,no,semi-furnished
" 4,900,000.00 "," 4,095.00 ",3,1,2,no,yes,yes,no,yes,0,no,semi-furnished
" 4,900,000.00 "," 4,120.00 ",2,1,1,yes,no,yes,no,no,1,no,semi-furnished
" 4,900,000.00 "," 5,400.00 ",4,1,2,yes,no,no,no,no,0,no,semi-furnished
" 4,900,000.00 "," 4,770.00 ",3,1,1,yes,yes,yes,no,no,0,no,semi-furnished
" 4,900,000.00 "," 6,300.00 ",3,1,1,yes,no,no,no,yes,2,no,semi-furnished
" 4,900,000.00 "," 5,800.00 ",2,1,1,yes,yes,yes,no,yes,0,no,semi-furnished
" 4,900,000.00 "," 3,000.00 ",3,1,2,yes,no,yes,no,yes,0,no,semi-furnished
" 4,900,000.00 "," 2,970.00 ",3,1,3,yes,no,no,no,no,0,no,semi-furnished
" 4,900,000.00 "," 6,720.00 ",3,1,1,yes,no,no,no,no,0,no,unfurnished
" 4,900,000.00 "," 4,646.00 ",3,1,2,yes,yes,yes,no,no,2,no,semi-furnished
" 4,900,000.00 "," 12,900.00 ",3,1,1,yes,no,no,no,no,2,no,furnished
" 4,893,000.00 "," 3,420.00 ",4,2,2,yes,no,yes,no,yes,2,no,semi-furnished
" 4,893,000.00 "," 4,995.00 ",4,2,1,yes,no,yes,no,no,0,no,semi-furnished
" 4,865,000.00 "," 4,350.00 ",2,1,1,yes,no,yes,no,no,0,no,unfurnished
" 4,830,000.00 "," 4,160.00 ",3,1,3,yes,no,no,no,no,0,no,unfurnished
" 4,830,000.00 "," 6,040.00 ",3,1,1,yes,no,no,no,no,2,yes,semi-furnished
" 4,830,000.00 "," 6,862.00 ",3,1,2,yes,no,no,no,yes,2,yes,furnished
" 4,830,000.00 "," 4,815.00 ",2,1,1,yes,no,no,no,yes,0,yes,semi-furnished
" 4,795,000.00 "," 7,000.00 ",3,1,2,yes,no,yes,no,no,0,no,unfurnished
" 4,795,000.00 "," 8,100.00 ",4,1,4,yes,no,yes,no,yes,2,no,semi-furnished
" 4,767,000.00 "," 3,420.00 ",4,2,2,yes,no,no,no,no,0,no,semi-furnished
" 4,760,000.00 "," 9,166.00 ",2,1,1,yes,no,yes,no,yes,2,no,semi-furnished
" 4,760,000.00 "," 6,321.00 ",3,1,2,yes,no,yes,no,yes,1,no,furnished
" 4,760,000.00 "," 10,240.00 ",2,1,1,yes,no,no,no,yes,2,yes,unfurnished
" 4,753,000.00 "," 6,440.00 ",2,1,1,yes,no,no,no,yes,3,no,semi-furnished
" 4,690,000.00 "," 5,170.00 ",3,1,4,yes,no,no,no,yes,0,no,semi-furnished
" 4,690,000.00 "," 6,000.00 ",2,1,1,yes,no,yes,no,yes,1,no,furnished
" 4,690,000.00 "," 3,630.00 ",3,1,2,yes,no,no,no,no,2,no,semi-furnished
" 4,690,000.00 "," 9,667.00 ",4,2,2,yes,yes,yes,no,no,1,no,semi-furnished
" 4,690,000.00 "," 5,400.00 ",2,1,2,yes,no,no,no,no,0,yes,semi-furnished
" 4,690,000.00 "," 4,320.00 ",3,1,1,yes,no,no,no,no,0,yes,semi-furnished
" 4,655,000.00 "," 3,745.00 ",3,1,2,yes,no,yes,no,no,0,no,furnished
" 4,620,000.00 "," 4,160.00 ",3,1,1,yes,yes,yes,no,yes,0,no,unfurnished
" 4,620,000.00 "," 3,880.00 ",3,2,2,yes,no,yes,no,no,2,no,semi-furnished
" 4,620,000.00 "," 5,680.00 ",3,1,2,yes,yes,no,no,yes,1,no,semi-furnished
" 4,620,000.00 "," 2,870.00 ",2,1,2,yes,yes,yes,no,no,0,yes,semi-furnished
" 4,620,000.00 "," 5,010.00 ",3,1,2,yes,no,yes,no,no,0,no,semi-furnished
" 4,613,000.00 "," 4,510.00 ",4,2,2,yes,no,yes,no,no,0,no,semi-furnished
" 4,585,000.00 "," 4,000.00 ",3,1,2,yes,no,no,no,no,1,no,furnished
" 4,585,000.00 "," 3,840.00 ",3,1,2,yes,no,no,no,no,1,yes,semi-furnished
" 4,550,000.00 "," 3,760.00 ",3,1,1,yes,no,no,no,no,2,no,semi-furnished
" 4,550,000.00 "," 3,640.00 ",3,1,2,yes,no,no,no,yes,0,no,furnished
" 4,550,000.00 "," 2,550.00 ",3,1,2,yes,no,yes,no,no,0,no,furnished
" 4,550,000.00 "," 5,320.00 ",3,1,2,yes,yes,yes,no,no,0,yes,semi-furnished
" 4,550,000.00 "," 5,360.00 ",3,1,2,yes,no,no,no,no,2,yes,unfurnished
" 4,550,000.00 "," 3,520.00 ",3,1,1,yes,no,no,no,no,0,yes,semi-furnished
" 4,550,000.00 "," 8,400.00 ",4,1,4,yes,no,no,no,no,3,no,unfurnished
" 4,543,000.00 "," 4,100.00 ",2,2,1,yes,yes,yes,no,no,0,no,semi-furnished
" 4,543,000.00 "," 4,990.00 ",4,2,2,yes,yes,yes,no,no,0,yes,furnished
" 4,515,000.00 "," 3,510.00 ",3,1,3,yes,no,no,no,no,0,no,semi-furnished
" 4,515,000.00 "," 3,450.00 ",3,1,2,yes,no,yes,no,no,1,no,semi-furnished
" 4,515,000.00 "," 9,860.00 ",3,1,1,yes,no,no,no,no,0,no,semi-furnished
" 4,515,000.00 "," 3,520.00 ",2,1,2,yes,no,no,no,no,0,yes,furnished
" 4,480,000.00 "," 4,510.00 ",4,1,2,yes,no,no,no,yes,2,no,semi-furnished
" 4,480,000.00 "," 5,885.00 ",2,1,1,yes,no,no,no,yes,1,no,unfurnished
" 4,480,000.00 "," 4,000.00 ",3,1,2,yes,no,no,no,no,2,no,furnished
" 4,480,000.00 "," 8,250.00 ",3,1,1,yes,no,no,no,no,0,no,furnished
" 4,480,000.00 "," 4,040.00 ",3,1,2,yes,no,no,no,no,1,no,semi-furnished
" 4,473,000.00 "," 6,360.00 ",2,1,1,yes,no,yes,no,yes,1,no,furnished
" 4,473,000.00 "," 3,162.00 ",3,1,2,yes,no,no,no,yes,1,no,furnished
" 4,473,000.00 "," 3,510.00 ",3,1,2,yes,no,no,no,no,0,no,semi-furnished
" 4,445,000.00 "," 3,750.00 ",2,1,1,yes,yes,yes,no,no,0,no,semi-furnished
" 4,410,000.00 "," 3,968.00 ",3,1,2,no,no,no,no,no,0,no,semi-furnished
" 4,410,000.00 "," 4,900.00 ",2,1,2,yes,no,yes,no,no,0,no,semi-furnished
" 4,403,000.00 "," 2,880.00 ",3,1,2,yes,no,no,no,no,0,yes,semi-furnished
" 4,403,000.00 "," 4,880.00 ",3,1,1,yes,no,no,no,no,2,yes,unfurnished
" 4,403,000.00 "," 4,920.00 ",3,1,2,yes,no,no,no,no,1,no,semi-furnished
" 4,382,000.00 "," 4,950.00 ",4,1,2,yes,no,no,no,yes,0,no,semi-furnished
" 4,375,000.00 "," 3,900.00 ",3,1,2,yes,no,no,no,no,0,no,unfurnished
" 4,340,000.00 "," 4,500.00 ",3,2,3,yes,no,no,yes,no,1,no,furnished
" 4,340,000.00 "," 1,905.00 ",5,1,2,no,no,yes,no,no,0,no,semi-furnished
" 4,340,000.00 "," 4,075.00 ",3,1,1,yes,yes,yes,no,no,2,no,semi-furnished
" 4,340,000.00 "," 3,500.00 ",4,1,2,yes,no,no,no,no,2,no,furnished
" 4,340,000.00 "," 6,450.00 ",4,1,2,yes,no,no,no,no,0,no,semi-furnished
" 4,319,000.00 "," 4,032.00 ",2,1,1,yes,no,yes,no,no,0,no,furnished
" 4,305,000.00 "," 4,400.00 ",2,1,1,yes,no,no,no,no,1,no,semi-furnished
" 4,305,000.00 "," 10,360.00 ",2,1,1,yes,no,no,no,no,1,yes,semi-furnished
" 4,277,000.00 "," 3,400.00 ",3,1,2,yes,no,yes,no,no,2,yes,semi-furnished
" 4,270,000.00 "," 6,360.00 ",2,1,1,yes,no,no,no,no,0,no,furnished
